,vineyard,name,price,score,number of ratings,ratings,country,region
140,Thymiopoulos,Ghi kai Uranos Xinomavro 2019,41.76,4.2,237,237, Greece,Naoussa
141,Occhipinti,Il Frappato Sicilia 2019,46.86,4.2,228,228, Italy,Terre Siciliane
142,Famille Perrin,Gigondas La Gille 2019,46.67,4.2,226,226, France,Gigondas
143,Ioniς (Ionis),Àcanto Primitivo 2019,18.40,4.2,193,193, Italy,Puglia
144,Angélica Zapata,Cabernet Sauvignon Alta 2017,45.62,4.2,192,192, Argentina,Mendoza
145,VALENCISO,Rioja Reserva 2015,32.09,4.2,185,185, Spain,Rioja
146,Olivardots,Gresa Expressió 2012,35.49,4.2,179,179, Spain,Empordà
147,R. López de Heredia Viña Tondonia,Viña Bosconia Reserva 2010,37.04,4.2,175,175, Spain,Rioja Alta
148,Michel Juillot,Mercurey Les Vignes de Maillonge 2018,34.02,4.2,157,157, France,Mercurey
149,Can Blau,Mas de Can Blau 2014,48.02,4.2,143,143, Spain,Montsant
150,Cepa 21,Ribera del Duero Tinto 2018,27.92,4.2,140,140, Spain,Ribera del Duero
151,Mustiguillo,Finca Terrerazo 2019,39.82,4.2,134,134, Spain,El Terrerazo
152,Château Belle-Vue,Haut-Médoc 2018,45.42,4.2,129,129, France,Haut-Médoc
153,Domaine Les Pallières,Gigondas Les Racines 2018,47.94,4.2,116,116, France,Gigondas
154,Jean Foillard,Eponym' Morgon 2019,37.12,4.2,106,106, France,Morgon
155,Bindi Sergardi,La Ghirlanda Chianti Classico 2018,46.75,4.2,104,104, Italy,Chianti Classico
156,Château des Tours,Montagne-Saint-Émilion 2015,44.95,4.2,101,101, France,Montagne-Saint-Émilion
157,Cà dei Maghi,Valpolicella Ripasso Classico Superiore 2016,34,4.2,94,94, Italy,Valpolicella Ripasso Classico
158,Marqués de Griñon,Syrah 2016,40.21,4.2,91,91, Spain,Dominio de Valdepusa
159,La Monardiere,Les 2 Monardes Vacqueyras 2019,23.97,4.2,90,90, France,Vacqueyras
160,Izadi,El Regalo 2018,44.62,4.2,90,90, Spain,Rioja
161,Palacios Remondo,Propiedad  Rioja 2019,37.89,4.2,87,87, Spain,Rioja
162,Mas Foulaquier,Les Calades Pic Saint-Loup 2016,38.66,4.2,85,85, France,Pic-Saint-Loup
163,Peregrine,Pinot Noir 2018,41.90,4.2,84,84, New Zealand,Central Otago
164,Dominio do Bibei,Ribeira Sacra Refugallo 2018,20.03,4.2,83,83, Spain,Ribeira Sacra
165,Maxime Magnon,Campagnès Corbières 2018,47.79,4.2,83,83, France,Corbières
166,Combier,Cap Nord Crozes-Hermitage 2019,44.85,4.2,80,80, France,Crozes-Hermitage
167,Morambro Creek,Shiraz 2016,50,4.2,79,79, Australia,Padthaway
168,Emilio Moro,La Felisa 2020,39.44,4.2,77,77, Spain,Ribera del Duero
169,Langmeil,Steadfast Shiraz - Cabernet 2018,48,4.2,72,72, Australia,Barossa Valley
170,Chateau Haut-Plantade,Pessac-Léognan Rouge 2009,46.78,4.2,70,70, France,Pessac-Léognan
171,Bald Hills,Single Vineyard Pinot Noir 2016,42.83,4.2,70,70, New Zealand,Central Otago
172,Daniel Bouland,Cuveé Melanie Côte de Brouilly 2020,23.97,4.2,69,69, France,Côte de Brouilly
173,Palacios Remondo,Rioja Reserva Selección Especial La Montesa 2015,44.77,4.2,66,66, Spain,Rioja
174,Vins de Pedra,La Musa Negre 2017,19.49,4.2,65,65, Spain,Conca de Barberà
175,Paritua,Red 2018,44.42,4.2,64,64, New Zealand,Hawke's Bay
176,Akarua,Pinot Noir 2019,40.04,4.2,64,64, New Zealand,Bannockburn
177,Bachelet-Monnot,Bourgogne Rouge 2019,35.70,4.2,63,63, France,Bourgogne
178,Domaine de la Grand'Cour - Jean Louis Dutraive,Cuvée Vieilles Vignes Brouilly 2019,37.12,4.2,61,61, France,Brouilly
179,Praesidium,Montepulciano d'Abruzzo Riserva 2017,46.40,4.2,60,60, Italy,Montepulciano d'Abruzzo
180,Juan Manuel Burgos,Avan Viñedos Viejos 2019,18.40,4.2,60,60, Spain,Ribera del Duero
181,Espelt,Coma Bruna 2017,34.57,4.2,59,59, Spain,Empordà
182,Flechas de los Andes,Gran Corte 2015,39.48,4.2,59,59, Argentina,Vista Flores
183,Castillo Perelada,Finca La Garriga 2016,22.12,4.2,55,55, Spain,Empordà
184,Domaine Maillard Père & Fils,Chorey-Les-Beaune Rouge 2019,27.84,4.2,54,54, France,Chorey-lès-Beaune
185,Teusner,Albert 2018,47,4.2,54,54, Australia,Barossa Valley
186,Iona,Solace 2017,50,4.2,49,49, South Africa,Elgin
187,Domaine de la Grand'Cour - Jean Louis Dutraive,Famille Dutraive Saint-Amour 'Clos du Chapitre' 2018,44.85,4.2,48,48, France,Saint-Amour
188,Mascarello Giuseppe e Figlio,Dolcetto d'Alba Santo Stefano di Perno 2019,34.02,4.2,47,47, Italy,Dolcetto d'Alba
189,Domaine Raspail-Ay,Gigondas 2019,32.48,4.2,46,46, France,Gigondas
190,Castro Candaz,A Boca do Demo 2018,45.01,4.2,45,45, Spain,Ribeira Sacra
191,Xavier Vignon,Gigondas 2019,49.67,4.2,39,39, France,Gigondas
192,Domaine Mee Godard,Morgon Grand Cras 2019,32.48,4.2,40,40, France,Morgon
193,Roucas Toumba,Les Restanques de Cabassole Vacqueyras 2017,35.57,4.2,38,38, France,Vacqueyras
194,The Boneline,Iridium 2016,49.35,4.2,36,36, New Zealand,Waipara
195,Langmeil,Prime Cut Shiraz 2019,49,4.2,36,36, Australia,Barossa
196,Kaiken,Ultra Cabernet Sauvignon 2004,44.42,4.2,36,36, Argentina,Mendoza
197,Château Pradeaux,Bandol 2020,24.75,4.2,35,35, France,Bandol
198,Brennan,B2 Pinot Noir 2016,32.60,4.2,34,34, New Zealand,Central Otago
199,Domaine du Dragon,Cuvée Saint-Michel Côtes de Provence 2016,49,4.2,31,31, France,Côtes de Provence
200,Yves Leccia,Patrimonio e Croce Rouge 2019,32.48,4.2,29,29, France,Patrimonio
201,Pujanza,Hado 2018,18.25,4.2,29,29, Spain,Rioja
202,Domaine d'Aigues Belles,Le Grand Classique 2018,41.17,4.2,29,29, France,Languedoc
203,Flechas de los Andes,Gran Corte 2017,39.98,4.2,28,28, Argentina,Vista Flores
204,Château Leroy-Beauval,Seigneur de Beauval Bordeaux Rouge 2015,50,4.2,26,26, France,Bordeaux
